row1,,row1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'bl2')",,('bl1', 'bl2'),1,('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl1',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl2',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('bl3',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw1',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw2',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('hw3',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib1',('ib2',('ib2',('ib2',('ib2',('ib2',('ib2',('ib2',('ib2',('ib2',('ib2',('ib3',('ib3',('ib3',('ib3',('ib3',('ib3',('ib3',('ib3',('ib3',('mw1',('mw1',('mw1',('mw1',('mw1',('mw1',('mw1',('mw1',('mw2',('mw2',('mw2',('mw2',('mw2',('mw2',('mw2',('mw3',('mw3',('mw3',('mw3',('mw3',('mw3',('pb1',('pb1',('pb1',('pb1',('pb1',('pb2',('pb2',('pb2',('pb2',('pb3',('pb3',('pb3',('sc1',('sc1',('sc2'
"('bl1', 'bl3')",,('bl1', 'bl3'),2, 'bl2'), 'bl3'), 'hw1'), 'hw2'), 'hw3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'bl3'), 'hw1'), 'hw2'), 'hw3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'hw1'), 'hw2'), 'hw3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'hw2'), 'hw3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'hw3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'ib1'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'ib2'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'ib3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'mw1'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'mw2'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'mw3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'pb1'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'pb2'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'pb3'), 'sc1'), 'sc2'), 'sc3'), 'sc1'), 'sc2'), 'sc3'), 'sc2'), 'sc3'), 'sc3')
"('bl1', 'hw1')",,('bl1', 'hw1'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'hw2')",,('bl1', 'hw2'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'hw3')",,('bl1', 'hw3'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'ib1')",,('bl1', 'ib1'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'ib2')",,('bl1', 'ib2'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'ib3')",,('bl1', 'ib3'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'mw1')",,('bl1', 'mw1'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('bl1', 'mw2')",,('bl1', 'mw2'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
